,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Matthew_Dufty_Dragons,385,14,1,18,Fullback,80.0,0,0,0,0,0,,0,40,10,119,72,29,1,0,0,0,8,0,8,3.97,0,0,0,0,1,5,13,0.5,1.0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,80.0,,1
Nene_Macdonald_Dragons,481,14,1,2,Winger,80.0,0,0,0,0,0,,0,13,11,93,20,35,0,0,0,0,2,0,9,4.05,2,19,0,0,1,8,19,0.73,0.667,4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Euan_Aitken_Dragons,378,14,1,3,Centre,80.0,4,1,0,0,0,,0,42,10,131,0,34,1,0,0,0,4,0,9,3.49,0,0,0,0,0,4,12,0.4,0.875,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Timoteo_Lafai_Dragons,388,14,1,4,Centre,80.0,0,0,0,0,0,,0,15,7,59,0,25,0,0,0,0,1,0,7,3.47,0,0,0,1,0,1,11,0.14,0.929,13,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,80.0,,3
Jason_Nightingale_Dragons,482,14,1,5,Winger,80.0,4,1,0,0,0,,0,36,17,155,10,38,2,0,0,0,2,1,15,3.24,2,8,0,0,1,6,23,0.35,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Gareth_Widdop_Dragons,379,14,1,6,Five-Eighth,80.0,14,0,4,5,3,0.875,0,47,8,59,0,8,0,3,2,0,1,1,3,4.57,1,8,0,1,2,24,32,3,0.684,13,4,2,0,0,4,95,1,1,2,0,0,0,1,1,1,1,0,0,0,80.0,,4
Ben_Hunt_Dragons,376,14,1,7,Halfback,80.0,4,1,0,0,0,,0,52,5,65,0,0,0,0,1,0,1,0,1,2.52,0,0,0,1,9,41,57,8.2,0.875,14,2,0,1,0,11,329,1,2,2,0,0,1,0,0,0,0,0,0,0,80.0,,5
James_Graham_Dragons,396,14,1,8,Prop,51.0,0,0,0,0,0,,0,37,14,120,7,44,0,0,0,0,1,13,12,4.53,0,0,0,0,0,2,16,0.14,0.929,26,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,28.39,21.52,6
Cameron_Mcinnes_Dragons,391,14,1,9,Hooker,80.0,0,0,0,0,0,,0,44,6,60,0,19,0,0,0,0,1,0,5,3.5,6,60,0,1,2,104,109,17.33,0.969,31,0,1,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,7
Paul_Vaughan_Dragons,404,14,1,10,Prop,54.0,0,0,0,0,0,,0,44,18,168,69,58,0,0,0,0,2,11,14,4.34,0,0,0,0,0,2,19,0.11,0.929,26,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,23.1,23.12,6
